A;MS; RS;ACCIM;ACCIT;INCIP;ENFERO;TNS
2020;ENERO;1;0;1;0;0;1
2020;ENERO;2;0;13;1;0;14
2020;ENERO;3;0;8;0;0;8
2020;ENERO;4;0;162;9;0;171
2020;ENERO;5;0;0;0;0;0
2020;ENERO;6;0;15;1;0;16
2020;ENERO;7;0;183;0;0;183
2020;ENERO;8;1;18;0;0;19
2020;ENERO;9;0;4;1;0;5
2020;ENERO;10;0;0;0;0;0
2020;ENERO;11;0;5;0;0;5
2020;ENERO;12;3;6;0;0;9
2020;ENERO;13;0;60;1;0;61
2020;ENERO;14;1;1;0;0;2
2020;ENERO;15;11;2,111;35;0;2157
2020;ENERO;16;0;14;0;0;14
2020;ENERO;17;0;5;1;0;6
2020;ENERO;18;1;0;0;0;1
2020;ENERO;19;0;14;4;0;18
2020;ENERO;20;0;4;0;0;4
2020;ENERO;21;0;186;0;0;186
2020;ENERO;22;0;1;0;0;1
2020;ENERO;23;0;1;0;0;1
2020;ENERO;24;0;1;0;0;1
2020;ENERO;25;0;4;0;0;4
2020;ENERO;26;0;10;0;0;10
2020;FEBRERO;1;0;0;0;0;0
2020;FEBRERO;2;0;60;2;0;62
2020;FEBRERO;3;0;8;0;0;8
2020;FEBRERO;4;1;145;6;0;152
2020;FEBRERO;5;1;1;0;0;2
2020;FEBRERO;6;0;12;0;0;12
2020;FEBRERO;7;0;369;3;0;372
2020;FEBRERO;8;0;8;0;0;8
2020;FEBRERO;9;0;6;0;0;6
2020;FEBRERO;10;0;2;1;0;3
2020;FEBRERO;11;0;0;3;0;3
2020;FEBRERO;12;0;9;2;0;11
2020;FEBRERO;13;6;17;1;0;24
2020;FEBRERO;14;0;6;0;0;6
2020;FEBRERO;15;7;2,356;31;5;2399
2020;FEBRERO;16;0;17;1;2;20
2020;FEBRERO;17;0;30;2;0;32
2020;FEBRERO;18;0;0;0;0;0
2020;FEBRERO;19;1;3;1;0;5
2020;FEBRERO;20;0;7;0;0;7
2020;FEBRERO;21;1;156;3;0;160
2020;FEBRERO;22;0;1;1;0;2
2020;FEBRERO;23;1;2;0;0;3
2020;FEBRERO;24;0;8;1;0;9
2020;FEBRERO;25;0;6;0;0;6
2020;FEBRERO;26;1;10;0;0;11
2020;MARZO;1;0;0;0;0;0
2020;MARZO;2;3;19;0;0;22
2020;MARZO;3;0;2;0;0;2
2020;MARZO;4;2;53;10;0;65
2020;MARZO;5;0;0;0;0;0
2020;MARZO;6;0;10;0;0;10
2020;MARZO;7;1;237;0;0;238
2020;MARZO;8;1;4;0;0;5
2020;MARZO;9;0;0;0;0;0
2020;MARZO;10;0;0;0;0;0
2020;MARZO;11;0;14;0;0;14
2020;MARZO;12;0;4;0;0;4
